ano_pesquisa,arquivo_origem,id_resposta,idade,idade_q1_a_1,genero,raca_etnia,pcd,estado,uf,regiao,nivel_ensino,q1_m_area_de_formacao,"q2_a_situacao_de_trabalho",setor,atua_como_gestor,cargo_atual,nivel,faixa_salarial,experiencia_dados,experiencia_ti,modelo_trabalho_ideal,funcao_atuacao,fontes_dados,idade_q3_e,ia_uso_empresa,"q3_g_motivos_para_nao_usar_ai_generativa_e_llm","q3_h_empresa_esta_conseguindo_ter_bons_resultados_com_llms",linguagem_preferida,cloud_preferida,bi_preferida,"ferramenta_de_bi_preferida",tecnologia_data_lake,"tecnologia_data_warehouse"
2023,"State of Data 2023-2024 - Kaggle.csv","001b2d1qtli8t9z7oqgdhj001b2d4i0g",31,30-34,Masculino,Branca,Não,"Minas Gerais (MG)",MG,Sudeste,"Doutorado ou Phd","Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Finanças ou Bancos",0,"Cientista de Dados/Data Scientist",Sênior,"de R$ 12.001/mês a R$ 16.000/mês","de 3 a 4 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo 100% remoto","*Ciência de Dados/Machine Learning/AI: *Desenha e executa experimentos com o objetivo de responder perguntas do negócio; desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.","Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Dados armazenados em bancos NoSQL, Planilhas, Áudios, Dados georeferenciados",,,,,"Textos/Documentos, Dados relacionais (estruturados em bancos SQL)",Python,Streamlit,"Amazon Web Services (AWS)",,
2023,"State of Data 2023-2024 - Kaggle.csv","0026aa3fwd78u0026asg7456tfkjg2cs",30,30-34,Masculino,Branca,Não,"Espírito Santo (ES)",ES,Sudeste,Graduação/Bacharelado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empreendedor ou Empregado (CNPJ)","Finanças ou Bancos",0,"Analista de BI/BI Analyst",Pleno,"de R$ 6.001/mês a R$ 8.000/mês","de 3 a 4 anos","de 3 a 4 anos","Modelo 100% remoto","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL, Imagens, Vídeos",,,,,"Dados relacionais (estruturados em bancos SQL)",Python,Looker,"Google Cloud (GCP), Amazon Web Services (AWS)",,
2023,"State of Data 2023-2024 - Kaggle.csv","00r21rb9pusd1b0v7ew00r21rw3dy69w",37,35-39,Feminino,Amarela,Não,"São Paulo (SP)",SP,Sudeste,Graduação/Bacharelado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Finanças ou Bancos",0,"Analista de Dados/Data Analyst",Júnior,"de R$ 6.001/mês a R$ 8.000/mês","de 1 a 2 anos","Menos de 1 ano","Modelo 100% remoto","*Ciência de Dados/Machine Learning/AI: *Desenha e executa experimentos com o objetivo de responder perguntas do negócio; desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.","Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas",,,,,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos",Python,"Amazon Quicksight","Amazon Web Services (AWS)",,
2023,"State of Data 2023-2024 - Kaggle.csv","00urm3jf2cek12w6ygue00urm3jzd17j",22,22-24,Masculino,Preta,Não,"São Paulo (SP)",SP,Sudeste,"Estudante de Graduação","Computação / Engenharia de Software / Sistemas de Informação/ TI","Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","00v0az4g792svil00vn6y1kfm9hq8vy9",34,30-34,Masculino,Branca,Não,"Minas Gerais (MG)",MG,Sudeste,"Doutorado ou Phd","Economia/ Administração / Contabilidade / Finanças/ Negócios","Empreendedor ou Empregado (CNPJ)","Outra Opção",0,"Analista de Dados/Data Analyst",Júnior,"de R$ 4.001/mês a R$ 6.000/mês","Menos de 1 ano","Menos de 1 ano","Modelo 100% remoto","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Áudios",,,,,"Dados relacionais (estruturados em bancos SQL), Planilhas",Python,"Microsoft PowerBI",Snowflake,,
2023,"State of Data 2023-2024 - Kaggle.csv","015qqbrh4rr015qje9gvkbsb7ti1n5df",30,30-34,Masculino,Branca,Não,"Rio de Janeiro (RJ)",RJ,Sudeste,"Estudante de Graduação","Computação / Engenharia de Software / Sistemas de Informação/ TI","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software",0,"Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect",Pleno,"de R$ 8.001/mês a R$ 12.000/mês","de 1 a 2 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo 100% remoto","*Engenharia de Dados:* Modela soluções de arquitetura de dados; define modelagens de repositórios de dados (Data Lake, Data Warehouse, Data Lakehouse); desenvolve estratégias de aquisição de dados, recuperação de informação e pipelines de dados.","Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL, Textos/Documentos, Planilhas",,,,,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos",Python,Metabase,"Google Cloud (GCP), Amazon Web Services (AWS)","Amazon S3 + Redshift + Athena",Postgres/MySQL
2023,"State of Data 2023-2024 - Kaggle.csv","01810y9hweneb018to8t1p8ubyn1o04m",24,22-24,Masculino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Graduação/Bacharelado,"Economia/ Administração / Contabilidade / Finanças/ Negócios","Empregado (CLT)","Finanças ou Bancos",0,"Analista de Negócios/Business Analyst",Pleno,"de R$ 4.001/mês a R$ 6.000/mês","de 3 a 4 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Planilhas",,,,,"Dados relacionais (estruturados em bancos SQL)",Python,"Microsoft PowerBI","Amazon Web Services (AWS)",,
2023,"State of Data 2023-2024 - Kaggle.csv","01k1i8w42ljmgee01k1eay1n1283ot23",35,35-39,Masculino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Pós-graduação,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)",Varejo,1,,,"de R$ 20.001/mês a R$ 25.000/mês","de 7 a 10 anos","de 7 a 10 anos","Modelo 100% remoto",,,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.","Dados da empresa não estão prontos para uso de IA Generativa., Preocupações com segurança e privacidade de dados., Falta de expertise das equipes técnicas ou falta de recursos internos.",,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","01n9nd73iv68k81iefenxv01n9nd7wjt",27,25-29,Masculino,Parda,Não,"Rio de Janeiro (RJ)",RJ,Sudeste,Graduação/Bacharelado,"Economia/ Administração / Contabilidade / Finanças/ Negócios","Trabalho na área Acadêmica/Pesquisador",,,,,,,,,,,,,,,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","01v9nqn7mz93ace01v9ig2aswc6oy2zq",28,25-29,Masculino,Parda,Não,"São Paulo (SP)",SP,Sudeste,Graduação/Bacharelado,"Economia/ Administração / Contabilidade / Finanças/ Negócios","Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","01zusm1faol2k2601zlthh05cj7iqyit",25,25-29,Masculino,Preta,Sim,"Sergipe (SE)",SE,Nordeste,"Estudante de Graduação","Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Setor Público",0,"Analista de BI/BI Analyst",Júnior,"de R$ 1.001/mês a R$ 2.000/mês","de 1 a 2 anos","de 5 a 6 anos","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","*Análise de Dados/BI:* Extrai e cruza dados unindo diferentes fontes da informação; analisa dados visando identificar padrões, gerar insights e levantar perguntas; desenvolve dashboards, relatórios e visualizações de dados em ferramentas de BI.","Dados relacionais (estruturados em bancos SQL), Planilhas",,,,,"Dados relacionais (estruturados em bancos SQL)",Python,"Microsoft PowerBI","Servidores On Premise/Não utilizamos Cloud",,
2023,"State of Data 2023-2024 - Kaggle.csv","02cv39tv75nm2z9zhcv02cv379703hvs",46,45-49,Feminino,Parda,Não,"Pernambuco (PE)",PE,Nordeste,Pós-graduação,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","02yuxvtb6698rqwq8w02yuza594l7cut",32,30-34,Feminino,Preta,Não,"Rio Grande do Sul (RS)",RS,Sul,Pós-graduação,"Economia/ Administração / Contabilidade / Finanças/ Negócios","Empregado (CLT)","Tecnologia/Fábrica de Software",0,"Outra Opção",Pleno,"de R$ 3.001/mês a R$ 4.000/mês","de 1 a 2 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo 100% remoto","Não atuo em nenhuma das frentes citadas.",Planilhas,,,,,Planilhas,R,"Microsoft PowerBI","Servidores On Premise/Não utilizamos Cloud",,
2023,"State of Data 2023-2024 - Kaggle.csv","03hoy11ga4jko92xixsfb03hogk1wpa8",39,35-39,Masculino,Branca,Não,"São Paulo (SP)",SP,Sudeste,Graduação/Bacharelado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Finanças ou Bancos",1,,,"de R$ 16.001/mês a R$ 20.000/mês","Mais de 10 anos","Mais de 10 anos","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)",,,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","Não sei opinar sobre isso.","Falta de compreensão dos casos de uso., Baixa qualidade e/ou falta de confiabilidade das saídas (alucinação dos modelos)., Incerteza em relação a regulamentação ou questões regulatórias.",,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","03s7lpmvw0hjtzjgxl5ys03s7lpmbwwg",36,35-39,Masculino,Branca,Não,"Distrito Federal (DF)",DF,Centro-oeste,Pós-graduação,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Servidor Público","Tecnologia/Fábrica de Software",1,,,"de R$ 12.001/mês a R$ 16.000/mês","de 7 a 10 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","Modelo híbrido com dias fixos de trabalho presencial",,,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot,AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)., Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas.","Falta de compreensão dos casos de uso., Falta de expertise das equipes técnicas ou falta de recursos internos.",,,,,,,
2023,"State of Data 2023-2024 - Kaggle.csv","03zphd4wn92u78t7c03zph7kmu1pu8nw",35,35-39,Feminino,Branca,Não,"Minas Gerais (MG)",MG,Sudeste,Mestrado,"Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Tecnologia/Fábrica de Software",1,,,"de R$ 8.001/mês a R$ 12.000/mês","de 4 a 6 anos","de 3 a 4 anos","Modelo 100% remoto",,,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.","Preocupações com segurança e privacidade de dados., Dados da empresa não estão prontos para uso de IA Generativa., Falta de expertise das equipes técnicas ou falta de recursos internos.",,,,,,,
