codigo;presente_em;rotulo_2023;coluna_original_2023;rotulo_2024;coluna_original_2024;rotulo_2025;coluna_original_2025;coluna_unificada_final;ok_ou_ajustar
0;2023;id;('P0', 'id');;;;;;OK
0.a;2024,2025;;;token;0.a_token;token;0.a_token;;OK
0.d;2024,2025;;;data/hora_envio;0.d_data/hora_envio;data/hora_envio;0.d_data/hora_envio;;OK
1.a;2023,2024,2025;Idade;('P1_a ', 'Idade');idade;1.a_idade;idade;1.a_idade;;OK
1.a.1;2023,2024,2025;Faixa idade;('P1_a_1 ', 'Faixa idade');faixa_idade;1.a.1_faixa_idade;faixa_idade;1.a.1_faixa_idade;;OK
1.b;2023,2024,2025;Genero;('P1_b ', 'Genero');genero;1.b_genero;genero;1.b_genero;;OK
1.c;2023,2024,2025;Cor/raca/etnia;('P1_c ', 'Cor/raca/etnia');cor/raca/etnia;1.c_cor/raca/etnia;cor/raca/etnia;1.c_cor/raca/etnia;;OK
1.d;2023,2024,2025;PCD;('P1_d ', 'PCD');pcd;1.d_pcd;pcd;1.d_pcd;;OK
1.e;2023,2024,2025;experiencia_profissional_prejudicada;('P1_e ', 'experiencia_profissional_prejudicada');experiencia_profissional_prejudicada;1.e_experiencia_profissional_prejudicada;experiencia_profissional_prejudicada;1.e_experiencia_profissional_prejudicada;;OK
1.e.1;2023,2024,2025;Não acredito que minha experiência profissional seja afetada;('P1_e_1 ', 'Não acredito que minha experiência profissional seja afetada');Não acredito que minha experiência profissional seja afetada;1.e.1_Não acredito que minha experiência profissional seja afetada;Não acredito que minha experiência profissional seja afetada;1.e.1_Não acredito que minha experiência profissional seja afetada;;OK
1.e.2;2023,2024,2025;Experiencia prejudicada devido a minha Cor Raça Etnia;('P1_e_2 ', 'Experiencia prejudicada devido a minha Cor Raça Etnia');Sim, devido a minha Cor/Raça/Etnia;1.e.2_Sim, devido a minha Cor/Raça/Etnia;Sim, devido a minha Cor/Raça/Etnia;1.e.2_Sim, devido a minha Cor/Raça/Etnia;;OK
1.e.3;2023,2024,2025;Experiencia prejudicada devido a minha identidade de gênero;('P1_e_3 ', 'Experiencia prejudicada devido a minha identidade de gênero');Sim, devido a minha identidade de gênero;1.e.3_Sim, devido a minha identidade de gênero;Sim, devido a minha identidade de gênero;1.e.3_Sim, devido a minha identidade de gênero;;OK
1.e.4;2023,2024,2025;Experiencia prejudicada devido ao fato de ser PCD;('P1_e_4 ', 'Experiencia prejudicada devido ao fato de ser PCD');Sim, devido ao fato de ser PCD;1.e.4_Sim, devido ao fato de ser PCD;Sim, devido ao fato de ser PCD;1.e.4_Sim, devido ao fato de ser PCD;;OK
1.f;2023,2024,2025;aspectos_prejudicados;('P1_f ', 'aspectos_prejudicados');aspectos_prejudicados;1.f_aspectos_prejudicados;aspectos_prejudicados;1.f_aspectos_prejudicados;;OK
1.f.1;2023,2024,2025;Quantidade de oportunidades de emprego/vagas recebidas;('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas');Quantidade de oportunidades de emprego/vagas recebidas;1.f.1_Quantidade de oportunidades de emprego/vagas recebidas;Quantidade de oportunidades de emprego/vagas recebidas;1.f.1_Quantidade de oportunidades de emprego/vagas recebidas;;OK
1.f.2;2023,2024,2025;Senioridade das vagas recebidas em relação à sua experiência;('P1_f_2', 'Senioridade das vagas recebidas em relação à sua experiência');Senioridade das vagas recebidas em relação à sua experiência;1.f.2_Senioridade das vagas recebidas em relação à sua experiência;Senioridade das vagas recebidas em relação à sua experiência;1.f.2_Senioridade das vagas recebidas em relação à sua experiência;;OK
1.f.3;2023,2024,2025;Aprovação em processos seletivos/entrevistas;('P1_f_3', 'Aprovação em processos seletivos/entrevistas');Aprovação em processos seletivos/entrevistas;1.f.3_Aprovação em processos seletivos/entrevistas;Aprovação em processos seletivos/entrevistas;1.f.3_Aprovação em processos seletivos/entrevistas;;OK
1.f.4;2023,2024,2025;Oportunidades de progressão de carreira;('P1_f_4', 'Oportunidades de progressão de carreira');Oportunidades de progressão de carreira;1.f.4_Oportunidades de progressão de carreira;Oportunidades de progressão de carreira;1.f.4_Oportunidades de progressão de carreira;;OK
1.f.5;2023,2024,2025;Velocidade de progressão de carreira;('P1_f_5', 'Velocidade de progressão de carreira');Velocidade de progressão de carreira;1.f.5_Velocidade de progressão de carreira;Velocidade de progressão de carreira;1.f.5_Velocidade de progressão de carreira;;OK
1.f.6;2023,2024,2025;Nível de cobrança no trabalho/Stress no trabalho;('P1_f_6', 'Nível de cobrança no trabalho/Stress no trabalho');Nível de cobrança no trabalho/Stress no trabalho;1.f.6_Nível de cobrança no trabalho/Stress no trabalho;Nível de cobrança no trabalho/Stress no trabalho;1.f.6_Nível de cobrança no trabalho/Stress no trabalho;;OK
1.f.7;2023,2024,2025;Atenção dada diante das minhas opiniões e ideias;('P1_f_7', 'Atenção dada diante das minhas opiniões e ideias');Atenção dada pelas pessoas diante das minhas opiniões e ideias;1.f.7_Atenção dada pelas pessoas diante das minhas opiniões e ideias;Atenção dada pelas pessoas diante das minhas opiniões e ideias;1.f.7_Atenção dada pelas pessoas diante das minhas opiniões e ideias;;OK
